Time { hour: 6, minute: 0 }, StationId { id_number: 20 }, People coming in 5, People going out 0, People inside the bus 5
Time { hour: 6, minute: 8 }, StationId { id_number: 8 }, People coming in 3, People going out 1, People inside the bus 7
Time { hour: 6, minute: 18 }, StationId { id_number: 15 }, People coming in 4, People going out 2, People inside the bus 9
Time { hour: 6, minute: 27 }, StationId { id_number: 14 }, People coming in 4, People going out 7, People inside the bus 6
Time { hour: 6, minute: 37 }, StationId { id_number: 15 }, People coming in 4, People going out 1, People inside the bus 9
Time { hour: 6, minute: 46 }, StationId { id_number: 8 }, People coming in 4, People going out 2, People inside the bus 11
Time { hour: 6, minute: 54 }, StationId { id_number: 20 }, People coming in 6, People going out 5, People inside the bus 12
Time { hour: 7, minute: 0 }, StationId { id_number: 20 }, People coming in 5, People going out 0, People inside the bus 17
Time { hour: 7, minute: 8 }, StationId { id_number: 8 }, People coming in 4, People going out 3, People inside the bus 18
Time { hour: 7, minute: 18 }, StationId { id_number: 15 }, People coming in 6, People going out 5, People inside the bus 19
Time { hour: 7, minute: 27 }, StationId { id_number: 14 }, People coming in 3, People going out 15, People inside the bus 7
Time { hour: 7, minute: 37 }, StationId { id_number: 15 }, People coming in 4, People going out 2, People inside the bus 9
Time { hour: 7, minute: 46 }, StationId { id_number: 8 }, People coming in 5, People going out 6, People inside the bus 8
Time { hour: 7, minute: 54 }, StationId { id_number: 20 }, People coming in 3, People going out 4, People inside the bus 7
Time { hour: 8, minute: 0 }, StationId { id_number: 20 }, People coming in 5, People going out 0, People inside the bus 12
Time { hour: 8, minute: 8 }, StationId { id_number: 8 }, People coming in 6, People going out 3, People inside the bus 15
Time { hour: 8, minute: 18 }, StationId { id_number: 15 }, People coming in 6, People going out 7, People inside the bus 14
Time { hour: 8, minute: 27 }, StationId { id_number: 14 }, People coming in 6, People going out 6, People inside the bus 14
Time { hour: 8, minute: 37 }, StationId { id_number: 15 }, People coming in 5, People going out 3, People inside the bus 16
Time { hour: 8, minute: 46 }, StationId { id_number: 8 }, People coming in 3, People going out 7, People inside the bus 12
Time { hour: 8, minute: 54 }, StationId { id_number: 20 }, People coming in 5, People going out 10, People inside the bus 7
Time { hour: 9, minute: 0 }, StationId { id_number: 20 }, People coming in 3, People going out 0, People inside the bus 10
Time { hour: 9, minute: 8 }, StationId { id_number: 8 }, People coming in 4, People going out 4, People inside the bus 10
Time { hour: 9, minute: 18 }, StationId { id_number: 15 }, People coming in 4, People going out 2, People inside the bus 12
Time { hour: 9, minute: 27 }, StationId { id_number: 14 }, People coming in 4, People going out 7, People inside the bus 9
Time { hour: 9, minute: 37 }, StationId { id_number: 15 }, People coming in 4, People going out 2, People inside the bus 11
Time { hour: 9, minute: 46 }, StationId { id_number: 8 }, People coming in 3, People going out 5, People inside the bus 9
Time { hour: 9, minute: 54 }, StationId { id_number: 20 }, People coming in 2, People going out 6, People inside the bus 5
Time { hour: 10, minute: 0 }, StationId { id_number: 20 }, People coming in 4, People going out 0, People inside the bus 9
Time { hour: 10, minute: 8 }, StationId { id_number: 8 }, People coming in 3, People going out 3, People inside the bus 9
Time { hour: 10, minute: 18 }, StationId { id_number: 15 }, People coming in 5, People going out 6, People inside the bus 8
Time { hour: 10, minute: 27 }, StationId { id_number: 14 }, People coming in 4, People going out 4, People inside the bus 8
Time { hour: 10, minute: 37 }, StationId { id_number: 15 }, People coming in 5, People going out 1, People inside the bus 12
Time { hour: 10, minute: 46 }, StationId { id_number: 8 }, People coming in 2, People going out 6, People inside the bus 8
Time { hour: 10, minute: 54 }, StationId { id_number: 20 }, People coming in 5, People going out 3, People inside the bus 10
Time { hour: 11, minute: 0 }, StationId { id_number: 20 }, People coming in 6, People going out 0, People inside the bus 16
Time { hour: 11, minute: 8 }, StationId { id_number: 8 }, People coming in 2, People going out 5, People inside the bus 13
Time { hour: 11, minute: 18 }, StationId { id_number: 15 }, People coming in 3, People going out 3, People inside the bus 13
Time { hour: 11, minute: 27 }, StationId { id_number: 14 }, People coming in 4, People going out 11, People inside the bus 6
Time { hour: 11, minute: 37 }, StationId { id_number: 15 }, People coming in 4, People going out 1, People inside the bus 9
Time { hour: 11, minute: 46 }, StationId { id_number: 8 }, People coming in 5, People going out 5, People inside the bus 9
Time { hour: 11, minute: 54 }, StationId { id_number: 20 }, People coming in 3, People going out 6, People inside the bus 6
Time { hour: 12, minute: 0 }, StationId { id_number: 20 }, People coming in 2, People going out 0, People inside the bus 8
Time { hour: 12, minute: 8 }, StationId { id_number: 8 }, People coming in 3, People going out 1, People inside the bus 10
Time { hour: 12, minute: 18 }, StationId { id_number: 15 }, People coming in 4, People going out 5, People inside the bus 9
Time { hour: 12, minute: 27 }, StationId { id_number: 14 }, People coming in 5, People going out 6, People inside the bus 8
Time { hour: 12, minute: 37 }, StationId { id_number: 15 }, People coming in 3, People going out 1, People inside the bus 10
Time { hour: 12, minute: 46 }, StationId { id_number: 8 }, People coming in 4, People going out 5, People inside the bus 9
Time { hour: 12, minute: 54 }, StationId { id_number: 20 }, People coming in 4, People going out 4, People inside the bus 9
Time { hour: 13, minute: 0 }, StationId { id_number: 20 }, People coming in 3, People going out 0, People inside the bus 12
Time { hour: 13, minute: 8 }, StationId { id_number: 8 }, People coming in 4, People going out 2, People inside the bus 14
Time { hour: 13, minute: 18 }, StationId { id_number: 15 }, People coming in 3, People going out 5, People inside the bus 12
Time { hour: 13, minute: 27 }, StationId { id_number: 14 }, People coming in 4, People going out 8, People inside the bus 8
Time { hour: 13, minute: 37 }, StationId { id_number: 15 }, People coming in 5, People going out 0, People inside the bus 13
Time { hour: 13, minute: 46 }, StationId { id_number: 8 }, People coming in 4, People going out 4, People inside the bus 13
Time { hour: 13, minute: 54 }, StationId { id_number: 20 }, People coming in 6, People going out 5, People inside the bus 14
Time { hour: 14, minute: 0 }, StationId { id_number: 20 }, People coming in 4, People going out 0, People inside the bus 18
Time { hour: 14, minute: 8 }, StationId { id_number: 8 }, People coming in 4, People going out 4, People inside the bus 18
Time { hour: 14, minute: 18 }, StationId { id_number: 15 }, People coming in 4, People going out 5, People inside the bus 17
Time { hour: 14, minute: 27 }, StationId { id_number: 14 }, People coming in 6, People going out 14, People inside the bus 9
Time { hour: 14, minute: 37 }, StationId { id_number: 15 }, People coming in 6, People going out 2, People inside the bus 13
Time { hour: 14, minute: 46 }, StationId { id_number: 8 }, People coming in 5, People going out 5, People inside the bus 13
Time { hour: 14, minute: 54 }, StationId { id_number: 20 }, People coming in 4, People going out 6, People inside the bus 11
Time { hour: 15, minute: 0 }, StationId { id_number: 20 }, People coming in 3, People going out 0, People inside the bus 14
Time { hour: 15, minute: 8 }, StationId { id_number: 8 }, People coming in 3, People going out 2, People inside the bus 15
Time { hour: 15, minute: 18 }, StationId { id_number: 15 }, People coming in 5, People going out 8, People inside the bus 12
Time { hour: 15, minute: 27 }, StationId { id_number: 14 }, People coming in 4, People going out 8, People inside the bus 8
Time { hour: 15, minute: 37 }, StationId { id_number: 15 }, People coming in 4, People going out 1, People inside the bus 11
Time { hour: 15, minute: 46 }, StationId { id_number: 8 }, People coming in 2, People going out 6, People inside the bus 7
Time { hour: 15, minute: 54 }, StationId { id_number: 20 }, People coming in 4, People going out 4, People inside the bus 7
Time { hour: 16, minute: 0 }, StationId { id_number: 20 }, People coming in 6, People going out 0, People inside the bus 13
Time { hour: 16, minute: 8 }, StationId { id_number: 8 }, People coming in 4, People going out 2, People inside the bus 15
Time { hour: 16, minute: 18 }, StationId { id_number: 15 }, People coming in 4, People going out 8, People inside the bus 11
Time { hour: 16, minute: 27 }, StationId { id_number: 14 }, People coming in 3, People going out 6, People inside the bus 8
Time { hour: 16, minute: 37 }, StationId { id_number: 15 }, People coming in 5, People going out 2, People inside the bus 11
Time { hour: 16, minute: 46 }, StationId { id_number: 8 }, People coming in 5, People going out 5, People inside the bus 11
Time { hour: 16, minute: 54 }, StationId { id_number: 20 }, People coming in 3, People going out 7, People inside the bus 7
Time { hour: 17, minute: 0 }, StationId { id_number: 20 }, People coming in 3, People going out 0, People inside the bus 10
Time { hour: 17, minute: 8 }, StationId { id_number: 8 }, People coming in 2, People going out 4, People inside the bus 8
Time { hour: 17, minute: 18 }, StationId { id_number: 15 }, People coming in 4, People going out 2, People inside the bus 10
Time { hour: 17, minute: 27 }, StationId { id_number: 14 }, People coming in 3, People going out 5, People inside the bus 8
Time { hour: 17, minute: 37 }, StationId { id_number: 15 }, People coming in 3, People going out 1, People inside the bus 10
Time { hour: 17, minute: 46 }, StationId { id_number: 8 }, People coming in 2, People going out 2, People inside the bus 10
Time { hour: 17, minute: 54 }, StationId { id_number: 20 }, People coming in 2, People going out 9, People inside the bus 3
Time { hour: 18, minute: 0 }, StationId { id_number: 20 }, People coming in 3, People going out 0, People inside the bus 6
Time { hour: 18, minute: 8 }, StationId { id_number: 8 }, People coming in 3, People going out 3, People inside the bus 6
Time { hour: 18, minute: 18 }, StationId { id_number: 15 }, People coming in 2, People going out 4, People inside the bus 4
Time { hour: 18, minute: 27 }, StationId { id_number: 14 }, People coming in 6, People going out 3, People inside the bus 7
Time { hour: 18, minute: 37 }, StationId { id_number: 15 }, People coming in 4, People going out 1, People inside the bus 10
Time { hour: 18, minute: 46 }, StationId { id_number: 8 }, People coming in 5, People going out 3, People inside the bus 12
Time { hour: 18, minute: 54 }, StationId { id_number: 20 }, People coming in 6, People going out 7, People inside the bus 11
Time { hour: 19, minute: 0 }, StationId { id_number: 20 }, People coming in 4, People going out 0, People inside the bus 15
Time { hour: 19, minute: 8 }, StationId { id_number: 8 }, People coming in 4, People going out 2, People inside the bus 17
Time { hour: 19, minute: 18 }, StationId { id_number: 15 }, People coming in 2, People going out 8, People inside the bus 11
Time { hour: 19, minute: 27 }, StationId { id_number: 14 }, People coming in 6, People going out 9, People inside the bus 8
Time { hour: 19, minute: 37 }, StationId { id_number: 15 }, People coming in 4, People going out 0, People inside the bus 12
Time { hour: 19, minute: 46 }, StationId { id_number: 8 }, People coming in 2, People going out 6, People inside the bus 8
Time { hour: 19, minute: 54 }, StationId { id_number: 20 }, People coming in 5, People going out 7, People inside the bus 6
Time { hour: 20, minute: 0 }, StationId { id_number: 20 }, People coming in 4, People going out 0, People inside the bus 10
Time { hour: 20, minute: 8 }, StationId { id_number: 8 }, People coming in 4, People going out 3, People inside the bus 11
Time { hour: 20, minute: 18 }, StationId { id_number: 15 }, People coming in 3, People going out 6, People inside the bus 8
Time { hour: 20, minute: 27 }, StationId { id_number: 14 }, People coming in 6, People going out 7, People inside the bus 7
Time { hour: 20, minute: 37 }, StationId { id_number: 15 }, People coming in 6, People going out 2, People inside the bus 11
Time { hour: 20, minute: 46 }, StationId { id_number: 8 }, People coming in 5, People going out 3, People inside the bus 13
Time { hour: 20, minute: 54 }, StationId { id_number: 20 }, People coming in 5, People going out 8, People inside the bus 10
Time { hour: 21, minute: 0 }, StationId { id_number: 20 }, People coming in 4, People going out 0, People inside the bus 14
Time { hour: 21, minute: 8 }, StationId { id_number: 8 }, People coming in 4, People going out 4, People inside the bus 14
Time { hour: 21, minute: 18 }, StationId { id_number: 15 }, People coming in 3, People going out 6, People inside the bus 11
Time { hour: 21, minute: 27 }, StationId { id_number: 14 }, People coming in 4, People going out 8, People inside the bus 7
Time { hour: 21, minute: 37 }, StationId { id_number: 15 }, People coming in 5, People going out 0, People inside the bus 12
Time { hour: 21, minute: 46 }, StationId { id_number: 8 }, People coming in 6, People going out 4, People inside the bus 14
Time { hour: 21, minute: 54 }, StationId { id_number: 20 }, People coming in 5, People going out 9, People inside the bus 10
Time { hour: 22, minute: 0 }, StationId { id_number: 20 }, People coming in 4, People going out 0, People inside the bus 14
Time { hour: 22, minute: 8 }, StationId { id_number: 8 }, People coming in 4, People going out 6, People inside the bus 12
Time { hour: 22, minute: 18 }, StationId { id_number: 15 }, People coming in 5, People going out 5, People inside the bus 12
Time { hour: 22, minute: 27 }, StationId { id_number: 14 }, People coming in 5, People going out 8, People inside the bus 9
Time { hour: 22, minute: 37 }, StationId { id_number: 15 }, People coming in 5, People going out 1, People inside the bus 13
Time { hour: 22, minute: 46 }, StationId { id_number: 8 }, People coming in 2, People going out 5, People inside the bus 10
Time { hour: 22, minute: 54 }, StationId { id_number: 20 }, People coming in 6, People going out 8, People inside the bus 8
Time { hour: 23, minute: 0 }, StationId { id_number: 20 }, People coming in 4, People going out 0, People inside the bus 12
Time { hour: 23, minute: 8 }, StationId { id_number: 8 }, People coming in 6, People going out 4, People inside the bus 14
Time { hour: 23, minute: 18 }, StationId { id_number: 15 }, People coming in 4, People going out 3, People inside the bus 15
Time { hour: 23, minute: 27 }, StationId { id_number: 14 }, People coming in 6, People going out 11, People inside the bus 10
Time { hour: 23, minute: 37 }, StationId { id_number: 15 }, People coming in 3, People going out 3, People inside the bus 10
Time { hour: 23, minute: 46 }, StationId { id_number: 8 }, People coming in 3, People going out 4, People inside the bus 9
Time { hour: 23, minute: 54 }, StationId { id_number: 20 }, People coming in 0, People going out 9, People inside the bus 0
Date { year: 2025, month: 12, day: 13 }
Time { hour: 6, minute: 0 }, StationId { id_number: 20 }, People coming in 3, People going out 0, People inside the bus 3
Time { hour: 6, minute: 8 }, StationId { id_number: 8 }, People coming in 2, People going out 1, People inside the bus 4
Time { hour: 6, minute: 18 }, StationId { id_number: 15 }, People coming in 5, People going out 1, People inside the bus 8
Time { hour: 6, minute: 27 }, StationId { id_number: 14 }, People coming in 6, People going out 5, People inside the bus 9
Time { hour: 6, minute: 37 }, StationId { id_number: 15 }, People coming in 5, People going out 2, People inside the bus 12
Time { hour: 6, minute: 46 }, StationId { id_number: 8 }, People coming in 4, People going out 5, People inside the bus 11
Time { hour: 6, minute: 54 }, StationId { id_number: 20 }, People coming in 2, People going out 5, People inside the bus 8
Time { hour: 7, minute: 0 }, StationId { id_number: 20 }, People coming in 5, People going out 0, People inside the bus 13
Time { hour: 7, minute: 8 }, StationId { id_number: 8 }, People coming in 6, People going out 5, People inside the bus 14
Time { hour: 7, minute: 18 }, StationId { id_number: 15 }, People coming in 3, People going out 3, People inside the bus 14
Time { hour: 7, minute: 27 }, StationId { id_number: 14 }, People coming in 3, People going out 10, People inside the bus 7
Time { hour: 7, minute: 37 }, StationId { id_number: 15 }, People coming in 2, People going out 1, People inside the bus 8
Time { hour: 7, minute: 46 }, StationId { id_number: 8 }, People coming in 3, People going out 2, People inside the bus 9
Time { hour: 7, minute: 54 }, StationId { id_number: 20 }, People coming in 2, People going out 4, People inside the bus 7
Time { hour: 8, minute: 0 }, StationId { id_number: 20 }, People coming in 5, People going out 0, People inside the bus 12
Time { hour: 8, minute: 8 }, StationId { id_number: 8 }, People coming in 5, People going out 1, People inside the bus 16
Time { hour: 8, minute: 18 }, StationId { id_number: 15 }, People coming in 6, People going out 6, People inside the bus 16
Time { hour: 8, minute: 27 }, StationId { id_number: 14 }, People coming in 2, People going out 12, People inside the bus 6
Time { hour: 8, minute: 37 }, StationId { id_number: 15 }, People coming in 5, People going out 1, People inside the bus 10
Time { hour: 8, minute: 46 }, StationId { id_number: 8 }, People coming in 5, People going out 5, People inside the bus 10
Time { hour: 8, minute: 54 }, StationId { id_number: 20 }, People coming in 2, People going out 6, People inside the bus 6
Time { hour: 9, minute: 0 }, StationId { id_number: 20 }, People coming in 3, People going out 0, People inside the bus 9
Time { hour: 9, minute: 8 }, StationId { id_number: 8 }, People coming in 6, People going out 4, People inside the bus 11
Time { hour: 9, minute: 18 }, StationId { id_number: 15 }, People coming in 6, People going out 2, People inside the bus 15
Time { hour: 9, minute: 27 }, StationId { id_number: 14 }, People coming in 2, People going out 13, People inside the bus 4
Time { hour: 9, minute: 37 }, StationId { id_number: 15 }, People coming in 5, People going out 0, People inside the bus 9
Time { hour: 9, minute: 46 }, StationId { id_number: 8 }, People coming in 4, People going out 4, People inside the bus 9
Time { hour: 9, minute: 54 }, StationId { id_number: 20 }, People coming in 4, People going out 4, People inside the bus 9
Time { hour: 10, minute: 0 }, StationId { id_number: 20 }, People coming in 2, People going out 0, People inside the bus 11
Time { hour: 10, minute: 8 }, StationId { id_number: 8 }, People coming in 5, People going out 0, People inside the bus 16
Time { hour: 10, minute: 18 }, StationId { id_number: 15 }, People coming in 5, People going out 9, People inside the bus 12
Time { hour: 10, minute: 27 }, StationId { id_number: 14 }, People coming in 3, People going out 6, People inside the bus 9
Time { hour: 10, minute: 37 }, StationId { id_number: 15 }, People coming in 6, People going out 1, People inside the bus 14
Time { hour: 10, minute: 46 }, StationId { id_number: 8 }, People coming in 4, People going out 5, People inside the bus 13
Time { hour: 10, minute: 54 }, StationId { id_number: 20 }, People coming in 3, People going out 9, People inside the bus 7
Time { hour: 11, minute: 0 }, StationId { id_number: 20 }, People coming in 3, People going out 0, People inside the bus 10
Time { hour: 11, minute: 8 }, StationId { id_number: 8 }, People coming in 3, People going out 4, People inside the bus 9
Time { hour: 11, minute: 18 }, StationId { id_number: 15 }, People coming in 4, People going out 5, People inside the bus 8
Time { hour: 11, minute: 27 }, StationId { id_number: 14 }, People coming in 2, People going out 6, People inside the bus 4
Time { hour: 11, minute: 37 }, StationId { id_number: 15 }, People coming in 4, People going out 0, People inside the bus 8
Time { hour: 11, minute: 46 }, StationId { id_number: 8 }, People coming in 5, People going out 3, People inside the bus 10
Time { hour: 11, minute: 54 }, StationId { id_number: 20 }, People coming in 2, People going out 8, People inside the bus 4
Time { hour: 12, minute: 0 }, StationId { id_number: 20 }, People coming in 4, People going out 0, People inside the bus 8
Time { hour: 12, minute: 8 }, StationId { id_number: 8 }, People coming in 4, People going out 1, People inside the bus 11
Time { hour: 12, minute: 18 }, StationId { id_number: 15 }, People coming in 6, People going out 6, People inside the bus 11
Time { hour: 12, minute: 27 }, StationId { id_number: 14 }, People coming in 2, People going out 6, People inside the bus 7
Time { hour: 12, minute: 37 }, StationId { id_number: 15 }, People coming in 4, People going out 1, People inside the bus 10
Time { hour: 12, minute: 46 }, StationId { id_number: 8 }, People coming in 4, People going out 6, People inside the bus 8
Time { hour: 12, minute: 54 }, StationId { id_number: 20 }, People coming in 4, People going out 5, People inside the bus 7
Time { hour: 13, minute: 0 }, StationId { id_number: 20 }, People coming in 3, People going out 0, People inside the bus 10
Time { hour: 13, minute: 8 }, StationId { id_number: 8 }, People coming in 2, People going out 2, People inside the bus 10
Time { hour: 13, minute: 18 }, StationId { id_number: 15 }, People coming in 5, People going out 5, People inside the bus 10
Time { hour: 13, minute: 27 }, StationId { id_number: 14 }, People coming in 4, People going out 8, People inside the bus 6
Time { hour: 13, minute: 37 }, StationId { id_number: 15 }, People coming in 3, People going out 2, People inside the bus 7
Time { hour: 13, minute: 46 }, StationId { id_number: 8 }, People coming in 5, People going out 5, People inside the bus 7
Time { hour: 13, minute: 54 }, StationId { id_number: 20 }, People coming in 4, People going out 5, People inside the bus 6
Time { hour: 14, minute: 0 }, StationId { id_number: 20 }, People coming in 4, People going out 0, People inside the bus 10
Time { hour: 14, minute: 8 }, StationId { id_number: 8 }, People coming in 6, People going out 1, People inside the bus 15
Time { hour: 14, minute: 18 }, StationId { id_number: 15 }, People coming in 2, People going out 7, People inside the bus 10
Time { hour: 14, minute: 27 }, StationId { id_number: 14 }, People coming in 2, People going out 8, People inside the bus 4
Time { hour: 14, minute: 37 }, StationId { id_number: 15 }, People coming in 6, People going out 1, People inside the bus 9
Time { hour: 14, minute: 46 }, StationId { id_number: 8 }, People coming in 3, People going out 3, People inside the bus 9
Time { hour: 14, minute: 54 }, StationId { id_number: 20 }, People coming in 2, People going out 5, People inside the bus 6
